NO.	ANG	POL	book_unit_lesson	part_of_speech	audio
257	bouquet of flowers	bukiet kwiatów	BG1_U2_L3	Słownictwo ogólne	0
258	souvenir	pamiątka	BG1_U2_L3	Słownictwo ogólne	0
259	light	lekki	BG1_U2_L3	Słownictwo ogólne	0
260	chest of drawers	komoda	BG1_U2_L3	Słownictwo ogólne	0
261	vase	wazon	BG1_U2_L3	Słownictwo ogólne	0
262	strange	dziwny	BG1_U2_L3	Słownictwo ogólne	0
263	stranger	nieznajomy	BG1_U2_L3	Słownictwo ogólne	0
264	above; over	ponad; nad	BG1_U2_L3	Słownictwo ogólne	0
265	toilet	toaleta; klozet	BG1_U2_L3	Słownictwo ogólne	0
266	stone	kamień	BG1_U2_L3	Słownictwo ogólne	0
267	shell	muszelka	BG1_U2_L3	Słownictwo ogólne	0
268	surprise	niespodzianka	BG1_U2_L3	Słownictwo ogólne	0
269	spend	spędzać	BG1_U2_L3	Słownictwo ogólne	0
270	over there	o, tam	BG1_U2_L3	Słownictwo ogólne	0
271	show somebody around	oprowadzić kogoś	BG1_U2_L3	Słownictwo ogólne	0
272	listen	słuchać	BG1_U2_L3	Słownictwo ogólne	0
273	with	z	BG1_U2_L3	Słownictwo ogólne	0
274	without	bez	BG1_U2_L3	Słownictwo ogólne	0
275	radiator	grzejnik; kaloryfer	BG1_U2_L3	Słownictwo ogólne	0
276	photograph	fotografia; zdjęcie	BG1_U2_L3	Słownictwo ogólne	0
277	stereo	stereo; wieża	BG1_U2_L3	Słownictwo ogólne	0
278	bookcase	regał na książki	BG1_U2_L3	Słownictwo ogólne	0
279	bed clothes	pościel	BG1_U2_L3	Słownictwo ogólne	0
280	mirror	lustro	BG1_U2_L3	Słownictwo ogólne	0
281	washing machine	pralka	BG1_U2_L3	Słownictwo ogólne	0
282	rug	dywanik	BG1_U2_L3	Słownictwo ogólne	0
283	best friend	najlepszy przyjaciel	BG1_U2_L3	Słownictwo ogólne	0
284	rent	wynajmować	BG1_U2_L4	Słownictwo ogólne	0
285	estate agency	biuro nieruchomości	BG1_U2_L4	Słownictwo ogólne	0
286	estate agent	agent nieruchomości	BG1_U2_L4	Słownictwo ogólne	0
287	kettle	czajnik	BG1_U2_L4	Słownictwo ogólne	0
288	cooker	kuchenka	BG1_U2_L4	Słownictwo ogólne	0
289	table lamp	lampa stołowa	BG1_U2_L4	Słownictwo ogólne	0
290	single bed	pojedyncze łóżko	BG1_U2_L4	Słownictwo ogólne	0
291	double bed	podwójne łóżko	BG1_U2_L4	Słownictwo ogólne	0
292	oven	piec	BG1_U2_L4	Słownictwo ogólne	0
293	bookcase	regał na książki	BG1_U2_L4	Słownictwo ogólne	0
294	night stand	stolik nocny	BG1_U2_L4	Słownictwo ogólne	0
295	fridge	lodówka	BG1_U2_L4	Słownictwo ogólne	0
296	dishwasher	zmywarka	BG1_U2_L4	Słownictwo ogólne	0
297	chic, stylish	stylowy, szykowny	BG1_U2_L4	Słownictwo ogólne	0
298	maybe	może	BG1_U2_L4	Słownictwo ogólne	0
299	as well, also, too	również; też	BG1_U2_L4	Słownictwo ogólne	0
300	sure	pewnie	BG1_U2_L4	Słownictwo ogólne	0
301	talk on the phone	rozmawiać przez telefon	BG1_U2_L4	Słownictwo ogólne	0
302	pay	płacić	BG1_U2_L4	Słownictwo ogólne	0
303	sell	sprzedawać	BG1_U2_L4	Słownictwo ogólne	0
304	buy	kupować	BG1_U2_L4	Słownictwo ogólne	0
305	doorbell	dzwonek do drzwi	BG1_U2_L4	Słownictwo ogólne	0
306	great idea	świetny pomysł	BG1_U2_L4	Słownictwo ogólne	0
307	housing estate 	osiedle mieszkaniowe	BG1_U2_L4	Słownictwo ogólne	0
308	expensive 	drogi	BG1_U3_L1	Zakupy	0
309	cheap 	tani	BG1_U3_L1	Zakupy	0
310	shopping list 	lista zakupów	BG1_U3_L1	Zakupy	0
311	shop assistant 	sprzedawca	BG1_U3_L1	Zakupy	0
312	shopping basket 	koszyk na zakupy	BG1_U3_L1	Zakupy	0
313	greengrocer's 	warzywniak	BG1_U3_L1	Zakupy	0
314	price 	cena	BG1_U3_L1	Zakupy	0
315	buy 	kupować	BG1_U3_L1	Zakupy	0
316	customer 	klient	BG1_U3_L1	Zakupy	0
317	blackcurrant 	czarna porzeczka	BG1_U3_L1	Zakupy	0
318	pineapple 	ananas	BG1_U3_L1	Zakupy	0
319	kilo 	kilo	BG1_U3_L1	Zakupy	0
320	need 	potrzebować	BG1_U3_L1	Zakupy	0
321	cost 	kosztować	BG1_U3_L1	Zakupy	0
322	value 	wartość	BG1_U3_L1	Zakupy	0
323	certainly 	oczywiście, z pewnością, naturalnie	BG1_U3_L2	Słownictwo ogólne	0
324	hat 	kapelusz	BG1_U3_L2	Słownictwo ogólne	0
325	watch 	zegarek	BG1_U3_L2	Słownictwo ogólne	0
326	scarf 	szalik	BG1_U3_L2	Słownictwo ogólne	0
327	gift 	prezent	BG1_U3_L2	Słownictwo ogólne	0
328	digital 	elektroniczny	BG1_U3_L2	Słownictwo ogólne	0
329	gold 	złoty	BG1_U3_L2	Słownictwo ogólne	0
330	jewellery 	biżuteria	BG1_U3_L2	Słownictwo ogólne	0
331	counter 	lada	BG1_U3_L2	Słownictwo ogólne	0
332	recommend 	polecić	BG1_U3_L2	Słownictwo ogólne	0
333	show 	pokazać	BG1_U3_L2	Słownictwo ogólne	0
334	gadget 	gadżet	BG1_U3_L2	Słownictwo ogólne	0
335	rich 	bogaty	BG1_U3_L2	Słownictwo ogólne	0
336	shopaholic 	maniak zakupów, zakupoholik	BG1_U3_L2	Słownictwo ogólne	0
337	bookshop 	księgarnia	BG1_U3_L3	Słownictwo ogólne	0
338	library 	biblioteka	BG1_U3_L3	Słownictwo ogólne	0
339	indoor market 	targ	BG1_U3_L3	Słownictwo ogólne	0
340	bakery 	piekarnia	BG1_U3_L3	Słownictwo ogólne	0
341	silver 	srebrny	BG1_U3_L3	Słownictwo ogólne	0
342	train 	pociąg	BG1_U3_L3	Słownictwo ogólne	0
343	in front of	przed	BG1_U3_L3	Słownictwo ogólne	0
344	between	pomiędzy	BG1_U3_L3	Słownictwo ogólne	0
345	behind 	za	BG1_U3_L3	Słownictwo ogólne	0
346	next to 	obok	BG1_U3_L3	Słownictwo ogólne	0
347	post box 	skrzynka pocztowa	BG1_U3_L3	Słownictwo ogólne	0
348	wrong 	niewłaściwy	BG1_U3_L3	Słownictwo ogólne	0
349	cinema 	kino	BG1_U3_L3	Słownictwo ogólne	0
350	mouse 	mysz	BG1_U3_L4	Słownictwo ogólne	0
351	tooth 	ząb	BG1_U3_L4	Słownictwo ogólne	0
352	foot 	stopa	BG1_U3_L4	Słownictwo ogólne	0
353	fish 	ryba / ryba, ryby / rybki	BG1_U3_L4	Słownictwo ogólne	0
354	fish tank 	akwarium	BG1_U3_L4	Słownictwo ogólne	0
355	fish food 	pokarm dla rybek	BG1_U3_L4	Słownictwo ogólne	0
356	aggressive 	agresywny	BG1_U3_L4	Słownictwo ogólne	0
357	water 	woda	BG1_U3_L4	Słownictwo ogólne	0
358	puppy 	szczeniak	BG1_U3_L4	Słownictwo ogólne	0
359	bite 	gryźć	BG1_U3_L4	Słownictwo ogólne	0
360	cake 	ciasto	BG1_U3_L4	Słownictwo ogólne	0
361	farm 	gospodarstwo	BG1_U3_L4	Słownictwo ogólne	0
